"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","KGE_Calib","NSE_Calib","PBIAS_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","KGE_Valid","NSE_Valid","PBIAS_Valid","Site","colors"
"all_ws",1.44288001875985,0.287,0.379,0.294,0.743965505224787,0.750943435510859,-2.6,1.3464994039067,0.315,0.479,0.31,0.676910503418405,0.602732909426426,3,"05465500","#772e25"
"all_ws_attr",0.91372841163545,0.182,0.24,0.447,0.948563211996659,0.900121545656565,-1.2,2.28566108401527,0.535,0.813,0.4,0.389733872621213,-0.144705914653807,38.8,"05465500","#0096c7"
"all_ws_bfs",1.33225582847091,0.265,0.35,0.339,0.795863904125603,0.787669289802294,-1.1,1.75566402806993,0.411,0.625,0.267,0.501659313859225,0.324612403291446,-2.5,"05465500","#2b9348"
"all_ws_bfs_attr",0.856811420582175,0.17,0.225,0.473,0.91926513547669,0.912177044590801,-2.5,2.00098622922709,0.468,0.712,0.375,0.505109207314833,0.122679134319419,33.1,"05465500","cyan"
"local",1.0413740157073,0.207,0.273,0.415,0.897388542089676,0.870266830468547,-1.2,2.03604112512097,0.477,0.725,0.384,0.470486399192521,0.0916706432886896,33.9,"05465500","#f94144"
"local_bfs",0.876529735031888,0.174,0.23,0.459,0.938413475953281,0.908088286736041,0.3,2.25809207813391,0.529,0.804,0.334,0.462615327671305,-0.117258205994752,35.9,"05465500","#f8961e"
"all_ws",3.25627650658689,0.286,0.237,0.392,0.880824229222083,0.816213694239555,-6.6,3.31474322017292,0.388,0.389,0.481,0.670160964142181,0.581187867645528,18.5,"05481000","#772e25"
"all_ws_attr",1.83270878361906,0.161,0.133,0.529,0.950615960663029,0.941781968191641,-2.6,5.31081021327548,0.621,0.623,0.466,0.323081463261683,-0.0750806262255979,48.8,"05481000","#0096c7"
"all_ws_bfs",3.05230832377396,0.268,0.222,0.443,0.876361378521094,0.83851678082786,7.3,2.65472138799116,0.311,0.312,0.476,0.846414126620898,0.731368232504751,6.3,"05481000","#2b9348"
"all_ws_bfs_attr",1.73320736478203,0.152,0.126,0.543,0.962556082927752,0.947931909861886,0.9,3.86059894679798,0.452,0.453,0.512,0.517577995340774,0.431894691063839,39,"05481000","cyan"
"local",2.31576077631145,0.204,0.169,0.468,0.930453928013197,0.907048161558737,-2,5.41636554927748,0.634,0.636,0.489,0.294631804631918,-0.118240986484948,47.8,"05481000","#f94144"
"local_bfs",2.20002776950756,0.193,0.16,0.484,0.943741233876842,0.916106768809249,-0.6,5.98752672521253,0.701,0.703,0.458,0.272604761608183,-0.36651499560696,63.6,"05481000","#f8961e"
"all_ws",2.20844366867826,0.287,0.378,0.289,0.761098380343646,0.710153253241032,-3.6,2.7310746134837,0.625,0.515,0.311,0.490707950643501,0.0564433722460748,46.3,"05482000","#772e25"
"all_ws_attr",1.11914764822801,0.145,0.191,0.519,0.956133008690121,0.925566138350043,1.6,3.19732174468541,0.732,0.603,0.346,0.329771027147085,-0.293223302399485,52,"05482000","#0096c7"
"all_ws_bfs",1.86903313859966,0.243,0.319,0.357,0.833092097242315,0.792398837387101,0.2,3.44177803438293,0.788,0.649,0.19,0.289020372076211,-0.498533844876226,37.7,"05482000","#2b9348"
"all_ws_bfs_attr",0.942727874900873,0.123,0.161,0.572,0.959026062021484,0.947183639008202,-0.5,3.02494773541855,0.692,0.571,0.344,0.433790065859156,-0.157541551895981,33.7,"05482000","cyan"
"local",1.44444148142821,0.188,0.247,0.46,0.910284032403338,0.876007424205066,0.2,3.63588474203058,0.832,0.686,0.429,0.138209124571618,-0.672326432124436,66.6,"05482000","#f94144"
"local_bfs",2.3756436447633,0.309,0.406,0.324,0.763495474269492,0.664603621503144,-4.9,3.79027550149492,0.867,0.715,0.384,0.162544607393916,-0.817365987184167,60.3,"05482000","#f8961e"
"all_ws",2.88552750919379,0.258,0.39,0.27,0.76704788726999,0.68906144651027,-1.6,3.04220148312049,0.363,1.087,0.205,0.458708158601412,-0.471374091951566,15.7,"05482300","#772e25"
"all_ws_attr",1.43583076450472,0.129,0.194,0.517,0.941376102880063,0.923010651482489,2.3,4.44475023166434,0.53,1.587,0.215,0.12195557402425,-2.14081155287627,33.7,"05482300","#0096c7"
"all_ws_bfs",2.30334979697814,0.206,0.311,0.348,0.850934556640125,0.801872878654504,1.3,2.61361289252049,0.312,0.933,0.21,0.519246969794276,-0.0859996487624146,4.6,"05482300","#2b9348"
"all_ws_bfs_attr",1.3140369573571,0.118,0.178,0.551,0.949009422052518,0.935517881743384,2.1,3.62959693860732,0.433,1.296,0.237,0.305377665155564,-1.09442087172706,22.7,"05482300","cyan"
"local",2.07476220100018,0.186,0.28,0.414,0.890555420676321,0.839246369376535,0,4.91131661194454,0.585,1.754,0.22,-0.0599107283245548,-2.83480267450828,34.8,"05482300","#f94144"
"local_bfs",1.89534037369174,0.17,0.256,0.436,0.905204317274071,0.865847563894264,0.7,4.77057668496133,0.569,1.704,0.227,-0.016928445266654,-2.61816959637494,33.2,"05482300","#f8961e"
"all_ws",2.97077830601219,0.29,0.322,0.353,0.793196029217196,0.783581678164113,-1.3,3.45095808616506,0.528,0.683,0.308,0.564385265111138,0.0291518057303564,31.1,"05482500","#772e25"
"all_ws_attr",1.61883289509913,0.158,0.176,0.542,0.963501781704802,0.935737505607873,1.8,5.54186001353119,0.849,1.097,0.411,0.0187346913972494,-1.5037044474649,64.1,"05482500","#0096c7"
"all_ws_bfs",2.25191261300703,0.22,0.244,0.432,0.882444150211898,0.875646903446255,2.8,2.63461109796622,0.403,0.522,0.319,0.701053125613413,0.434145216158632,13.1,"05482500","#2b9348"
"all_ws_bfs_attr",1.32071199508732,0.129,0.143,0.617,0.974790438319018,0.957226993090256,1.1,4.92087084270246,0.754,0.974,0.383,0.060911091206425,-0.974039737077694,46.4,"05482500","cyan"
"local",2.80685883048101,0.274,0.305,0.393,0.847513289491275,0.80680553554643,-0.1,4.73935112370251,0.726,0.938,0.433,0.153341305705016,-0.831090160241778,58.4,"05482500","#f94144"
"local_bfs",4.86933672420896,0.476,0.528,0.252,0.454880880997432,0.418575734099942,0.3,4.3738535330824,0.67,0.866,0.363,0.399986494234865,-0.559554045359322,53.8,"05482500","#f8961e"
"all_ws",1.54274161771869,0.228,0.393,0.3,0.66015253736653,0.644207394413173,-2,1.90773355388718,0.452,0.415,0.446,0.576910796013046,0.322658097828121,37.5,"05484000","#772e25"
"all_ws_attr",0.721623901778856,0.107,0.184,0.508,0.960182728105417,0.922154709038804,-0.3,1.29356890575643,0.306,0.281,0.491,0.721421977822827,0.688576313243247,22.4,"05484000","#0096c7"
"all_ws_bfs",1.32297602051227,0.195,0.337,0.346,0.748147495581697,0.738353775652519,-3.1,2.01955232274034,0.478,0.439,0.479,0.591322496672501,0.240928431001703,32.9,"05484000","#2b9348"
"all_ws_bfs_attr",0.699165442608562,0.103,0.178,0.53,0.937774018109079,0.926924728767929,-2.9,0.745027073879219,0.176,0.162,0.547,0.861873402162996,0.896696124031921,7.1,"05484000","cyan"
"local",0.694875742648446,0.103,0.177,0.543,0.943909556918135,0.927818678397186,0.3,1.32719422894673,0.314,0.289,0.503,0.751613193206138,0.672175448584827,22,"05484000","#f94144"
"local_bfs",0.606398020750585,0.09,0.154,0.587,0.961434765326543,0.945029956918656,-0.6,1.17041329843957,0.277,0.254,0.514,0.778724857361037,0.745052356673419,20.3,"05484000","#f8961e"
"all_ws",2.21235587594304,0.279,0.318,0.325,0.802753982618585,0.769970255079832,-3.5,2.50288799576779,0.475,0.491,0.375,0.647226249084032,0.307570147740336,26.8,"05484500","#772e25"
"all_ws_attr",1.18440591338348,0.149,0.17,0.553,0.966555833133215,0.934071202343326,0.4,3.17196019122257,0.602,0.622,0.442,0.366577240487455,-0.112111697239988,46.1,"05484500","#0096c7"
"all_ws_bfs",1.80693835266666,0.228,0.26,0.404,0.887607367612268,0.846552190379205,-1.1,2.0907260305986,0.397,0.41,0.368,0.687184532771533,0.516844191230133,15.5,"05484500","#2b9348"
"all_ws_bfs_attr",1.09568359133799,0.138,0.157,0.576,0.930634519523543,0.943578537776277,-1.8,2.2128111041918,0.42,0.434,0.45,0.617367324986865,0.458770279992364,33.8,"05484500","cyan"
"local",1.899703806865,0.24,0.273,0.414,0.886663121772539,0.83039220520615,0.9,3.41978947954117,0.649,0.671,0.399,0.331914162286101,-0.292681984203763,49.6,"05484500","#f94144"
"local_bfs",2.05106995168507,0.259,0.295,0.396,0.844327979870791,0.802287118339765,0.2,3.54816490513539,0.674,0.696,0.377,0.332505420165853,-0.391555538779643,53.9,"05484500","#f8961e"
"all_ws",0.304491469463301,0.187,0.982,0.092,0.387092294648451,0.299561094908532,0.5,0.344792095163698,0.233,1.277,0.095,0.271080467950735,-0.621012871314036,9.6,"05515500","#772e25"
"all_ws_attr",0.181312807970606,0.111,0.585,0.289,0.787873045742421,0.751642678175315,-1.2,0.193527085164207,0.131,0.717,0.253,0.774130204315149,0.489312328947895,6.9,"05515500","#0096c7"
"all_ws_bfs",0.279837986782354,0.172,0.903,0.14,0.509603151762559,0.408392956713455,2,0.306260102800398,0.207,1.134,0.162,0.530356368875619,-0.278947479258373,10,"05515500","#2b9348"
"all_ws_bfs_attr",0.175789606779894,0.108,0.567,0.305,0.812120804467117,0.766543274543392,1.1,0.23500375136817,0.159,0.87,0.21,0.75767694179127,0.246954093089176,10,"05515500","cyan"
"local",0.172310992130744,0.106,0.556,0.333,0.803594345626742,0.775691378524583,-0.7,0.203501922108459,0.138,0.754,0.257,0.708835910289294,0.435311564812431,3.2,"05515500","#f94144"
"local_bfs",0.160761285883929,0.099,0.519,0.335,0.829005497458908,0.804753641368477,-0.3,0.19559872773987,0.132,0.724,0.197,0.698755141205144,0.478320328656792,3.8,"05515500","#f8961e"
"all_ws",0.576527886467605,0.263,0.623,0.223,0.502475914162705,0.496865633654391,1.2,0.60920354708317,0.299,0.609,0.293,0.600745948505264,0.418850238631744,9.7,"05517500","#772e25"
"all_ws_attr",0.36972094627081,0.169,0.4,0.389,0.812319944812742,0.793085247066858,-2.1,0.407634577892472,0.2,0.408,0.409,0.808504708092598,0.739801223810613,3.1,"05517500","#0096c7"
"all_ws_bfs",0.52730842233969,0.241,0.57,0.268,0.668094073354831,0.579105974455706,4.5,0.477336367615127,0.234,0.477,0.352,0.692953905772898,0.643210335690335,4.3,"05517500","#2b9348"
"all_ws_bfs_attr",0.361342620476215,0.165,0.391,0.416,0.822854980590925,0.802356869337529,-0.1,0.403818843294467,0.198,0.404,0.371,0.82837303826635,0.744649696712021,2.3,"05517500","cyan"
"local",0.417397540454889,0.191,0.451,0.349,0.78819582608869,0.736279970157853,2.6,0.475831976451207,0.233,0.476,0.33,0.748283732358623,0.645455735086268,6.3,"05517500","#f94144"
"local_bfs",0.413755918973371,0.189,0.447,0.386,0.766165950791605,0.740861593302947,-0.6,0.453636578945752,0.222,0.454,0.341,0.72035137155727,0.677760073138049,-2.3,"05517500","#f8961e"
"all_ws",0.53003270714507,0.293,0.646,0.211,0.513963893163774,0.476176702777367,0.6,0.477622978232944,0.315,0.562,0.307,0.607866096914454,0.488173470155333,15.4,"05518000","#772e25"
