"Model","RMSE_Calib","NRMSE_Calib_mean","NRMSE_Calib_iq","MI_Calib","RMSE_Valid","NRMSE_Valid_mean","NRMSE_Valid_iq","MI_Valid","Site"
"all_ws",0.576527886467605,0.263,0.623,0.223,0.60920354708317,0.299,0.609,0.293,"05517500"
"all_ws_attr",0.36972094627081,0.169,0.4,0.389,0.407634577892472,0.2,0.408,0.409,"05517500"
"all_ws_bfs",0.52730842233969,0.241,0.57,0.268,0.477336367615127,0.234,0.477,0.352,"05517500"
"all_ws_bfs_attr",0.361342620476215,0.165,0.391,0.416,0.403818843294467,0.198,0.404,0.371,"05517500"
"local",0.417397540454889,0.191,0.451,0.349,0.475831976451207,0.233,0.476,0.33,"05517500"
"local_bfs",0.413755918973371,0.189,0.447,0.386,0.453636578945752,0.222,0.454,0.341,"05517500"
"all_ws",0.53003270714507,0.293,0.646,0.211,0.477622978232944,0.315,0.562,0.307,"05518000"
"all_ws_attr",0.324971492749092,0.18,0.396,0.363,0.390428104300952,0.258,0.459,0.379,"05518000"
"all_ws_bfs",0.474368617846463,0.262,0.578,0.233,0.427008795668793,0.282,0.502,0.352,"05518000"
"all_ws_bfs_attr",0.354407128800629,0.196,0.432,0.368,0.39382516919993,0.26,0.463,0.352,"05518000"
"local",0.352142356817206,0.195,0.429,0.343,0.356462299770445,0.235,0.419,0.403,"05518000"
"local_bfs",0.35529370666338,0.196,0.433,0.347,0.417995801676849,0.276,0.492,0.373,"05518000"
"all_ws",1.45235774336802,0.277,0.411,0.271,1.13931942549239,0.297,0.251,0.377,"05524500"
"all_ws_attr",0.912946301803684,0.174,0.258,0.42,0.803589401517658,0.21,0.177,0.487,"05524500"
"all_ws_bfs",1.30788853227782,0.25,0.37,0.28,1.16962064608312,0.305,0.258,0.418,"05524500"
"all_ws_bfs_attr",0.752324403893912,0.144,0.213,0.49,0.929056583475337,0.242,0.205,0.452,"05524500"
"local",0.844977405483935,0.161,0.239,0.437,1.19434760664452,0.312,0.263,0.449,"05524500"
"local_bfs",0.756136688220504,0.144,0.214,0.472,1.02098148153736,0.266,0.225,0.423,"05524500"
"all_ws",1.12188360080953,0.257,0.67,0.123,1.59890446827055,0.32,0.842,0.112,"05537980"
"all_ws_attr",0.473574361403658,0.109,0.283,0.398,0.77835234403912,0.156,0.41,0.292,"05537980"
"all_ws_bfs",0.99356921466095,0.228,0.593,0.145,1.73698769853601,0.347,0.914,0.102,"05537980"
"all_ws_bfs_attr",0.540466254451341,0.124,0.323,0.356,0.800254755869725,0.16,0.421,0.284,"05537980"
"local",0.446322115633267,0.102,0.266,0.403,0.699546830504699,0.14,0.368,0.355,"05537980"
"local_bfs",0.403836143828645,0.093,0.241,0.446,0.67341962557213,0.135,0.354,0.337,"05537980"
"all_ws",0.714462570318503,0.659,0.679,0.114,0.623143224635807,0.578,0.89,0.176,"05595000"
"all_ws_attr",0.486259051177904,0.448,0.462,0.281,0.543544911586999,0.504,0.776,0.236,"05595000"
"all_ws_bfs",0.665796774752584,0.614,0.633,0.158,0.762069054216593,0.707,1.089,0.179,"05595000"
"all_ws_bfs_attr",0.429399551918559,0.396,0.408,0.339,0.488481140658042,0.453,0.698,0.253,"05595000"
"local",0.458916897146232,0.423,0.436,0.291,0.426533402956425,0.395,0.609,0.268,"05595000"
"local_bfs",0.408212468411658,0.376,0.388,0.326,0.566249481110952,0.525,0.809,0.234,"05595000"
"all_ws",0.696686964188966,0.384,0.606,0.27,0.604986975210642,0.457,0.359,0.406,"06481000"
"all_ws_attr",0.487206588967307,0.268,0.424,0.361,0.546786379199481,0.413,0.325,0.443,"06481000"
"all_ws_bfs",0.776892618772491,0.428,0.676,0.213,0.569830847401638,0.43,0.338,0.376,"06481000"
"all_ws_bfs_attr",0.506847264210853,0.279,0.441,0.402,0.517037462991867,0.391,0.307,0.359,"06481000"
"local",0.622149686712469,0.343,0.541,0.343,0.556225653412216,0.42,0.33,0.334,"06481000"
"local_bfs",0.644443515101547,0.355,0.56,0.298,0.489629538391422,0.37,0.291,0.333,"06481000"
"all_ws",0.926899339299671,0.121,0.515,0.278,1.91278440209867,0.358,0.503,0.374,"06808500"
"all_ws_attr",0.595857519318882,0.078,0.331,0.413,1.58996475348354,0.298,0.418,0.474,"06808500"
"all_ws_bfs",0.7786140126599,0.102,0.433,0.337,1.73244037450122,0.324,0.456,0.427,"06808500"
"all_ws_bfs_attr",0.515847952488911,0.067,0.287,0.463,1.21214816823979,0.227,0.319,0.466,"06808500"
"local",0.52057106308455,0.068,0.289,0.468,1.84899982505764,0.346,0.487,0.368,"06808500"
"local_bfs",0.51995872817042,0.068,0.289,0.461,1.85160917394779,0.347,0.487,0.34,"06808500"
"all_ws",1.43115349296995,0.353,0.423,0.354,1.39701335480567,0.532,0.873,0.326,"06817000"
"all_ws_attr",1.11715541120295,0.275,0.33,0.42,1.51880483823088,0.578,0.949,0.323,"06817000"
"all_ws_bfs",1.27157783168243,0.313,0.376,0.37,2.16623351357909,0.825,1.354,0.296,"06817000"
"all_ws_bfs_attr",0.796104627304111,0.196,0.235,0.513,1.14198991695788,0.435,0.714,0.326,"06817000"
"local",0.919788835699991,0.227,0.272,0.465,1.74700626864677,0.665,1.092,0.338,"06817000"
"local_bfs",0.728277920404408,0.179,0.215,0.53,1.21949090418216,0.464,0.762,0.322,"06817000"
